collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
14565	J. Alroy	CC BY	Aves	Avetheropoda	Cimolopterygidae		Lamarqueavis	n. sp.	minima		Cimolopteryx	n. sp.	minima	14177	43.165262	-104.568997	49.63	-79.42	70.60000	66.00000	68.3
14580	J. Alroy	CC BY	Aves	Avetheropoda			Hesperornis		sp.					2255	47.8	-106.1	54.38	-78.99	70.60000	66.00000	68.3
14585	J. Alroy	CC BY	Aves	Avetheropoda		n. gen.	Torotix	n. sp.	clemensi					1239	43.116331	-104.636999	49.60	-79.51	70.60000	66.00000	68.3
14585	J. Alroy	CC BY	Aves	Avetheropoda		n. gen.	Potamornis	n. sp.	skutchi					1239	43.116331	-104.636999	49.60	-79.51	70.60000	66.00000	68.3
14585	J. Alroy	CC BY	Aves	Avetheropoda	Cimolopterygidae	n. gen.	Ceramornis	n. sp.	major					1239	43.116331	-104.636999	49.60	-79.51	70.60000	66.00000	68.3
14585	J. Alroy	CC BY	Aves	Avetheropoda	Cimolopterygidae	aff.	Cimolopteryx		sp.					1239	43.116331	-104.636999	49.60	-79.51	70.60000	66.00000	68.3
14585	J. Alroy	CC BY	Aves	Avetheropoda			Lonchodytes	n. sp.	pterygius					1239	43.116331	-104.636999	49.60	-79.51	70.60000	66.00000	68.3
14585	J. Alroy	CC BY	Aves	Avetheropoda	Cimolopterygidae		Cimolopteryx		rara					1239	43.116331	-104.636999	49.60	-79.51	70.60000	66.00000	68.3
14585	J. Alroy	CC BY	Aves	Avetheropoda		n. gen.	Lonchodytes	n. sp.	estesi					1239	43.116331	-104.636999	49.60	-79.51	70.60000	66.00000	68.3
14610	J. Alroy	CC BY	Aves	Avetheropoda		cf.	Avisaurus		archibaldi					1984	46.1	-103.3	52.20	-76.75	70.60000	66.00000	68.3
14967	J. Alroy	CC BY	Aves	Avetheropoda	Ogygoptyngidae	n. gen.	Ogygoptynx	n. sp.	wetmorei					3137	37.116667	-107.633333	42.95	-89.36	61.70000	56.80000	59.25
15000	J. Alroy	CC BY	Aves	Avetheropoda	Dakotornithidae	n. gen.	Dakotornis	n. sp.	cooperi					1459	47.033333	-103.65	52.01	-81.93	61.70000	56.80000	59.25
15008	J. Alroy	CC BY	Aves	Avetheropoda			Lithornis	n. sp.	celetius					1671	45.8	-110.5	51.89	-89.85	61.70000	56.80000	59.25
