Name_sp	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp
Brookesia stumpffi	101.25	44	161	-14.0789175	-16.2017	-13.34764	261.75	258	265
Brookesia superciliaris	447.666666666667	110	704	-19.43349	-23.9384	-15.43929	218.666666666667	205	228
Bungarus candidus	330.538461538462	6	1398	3.81965	-8.3052	19.0464	250	182	276
Bungarus fasciatus	14	14	14	24.35	24.35	24.35	258	258	258
Bungarus multicinctus	387.954545454545	3	2322	22.8760445454545	19.116	30.714	213.409090909091	131	247
Bunopus spatalurus	663.5	88	1555	25.5598283333333	25.2651	25.9656	242.166666666667	200	265
Bunopus tuberculatus	392.921052631579	11	1172	28.9066431578947	22.4781	35.96664	240.157894736842	154	274
Calamaria modesta	923.333333333333	663	1398	-7.02686666666667	-7.1767	-6.9039	212	182	227
Calamaria pavimentata	1051.875	302	2322	24.18715	21.45361	27.50494	192.5	131	219
Calamaria septentrionalis	672.333333333333	374	944	23.1901033333333	21.45361	24.95	198	179	210
Calamaria virgulata	340.666666666667	123	734	-0.01889	-1.44883	0.84135	245.666666666667	233	260
Caledoniscincus aquilonius	546.69696969697	242	1234	-20.6389794117647	-20.95777	-20.40333	204.529411764706	183	226
Caledoniscincus atropunctatus	356.176056338028	6	1073	-21.5652766216216	-22.31804	-19.566	215.72972972973	180	236
Caledoniscincus auratus	68.5	20	148	-20.4849975	-20.555	-20.41749	228	227	229
Caledoniscincus austrocaledonicus	390.072072072072	5	1211	-21.5321455172414	-22.666	-20.21	214.474137931034	180	235
Caledoniscincus chazeaui	1104	1104	1104	-20.8395566666667	-20.89885	-20.72416	207	196	229
Caledoniscincus festivus	380.36	5	962	-21.5058185185185	-22.283	-20.4	215.259259259259	185	232
Caledoniscincus haplorhinus	171.867647058824	3	1215	-20.969744	-22.316	-19.71406	225.1	185	236
Caledoniscincus orestes	939.0625	540	1510	-20.8905925	-21.61416	-20.56388	191.9375	183	204
Caledoniscincus renevieri	554	521	587	-21.160825	-21.16638	-21.15527	214	214	214
Calliophis intestinalis	153.875	3	901	5.98631875	1.65	12.04113	261.375	226	272
Calliophis maculiceps	87	9	190	13.589762	11.41667	16.75	263.8	255	273
Callisaurus draconoides	517.074175824176	-82	2671	32.3189594334685	22.8882099993233	40.2526851307235	196.926480599047	56	253
Calotes chincollium	1434.48571428571	819	2820	21.4171528571429	21.03336	22.255	187.6	128	216
Calumma boettgeri	1224	1197	1251	-12.60823	-12.61667	-12.59979	201	201	201
Calumma cucullatum	606.75	397	791	-16.089475	-18.695	-15.0373	211.75	193	226
Calumma gallus	585	466	704	-18.80889	-18.92278	-18.695	215.5	205	226
Calumma gastrotaenia	1120	940	1507	-19.5116466666667	-21.32826	-18.198	184.833333333333	167	193
Calumma nasutum	870.6875	397	1448	-17.6044325	-23.41333	-14.44133	201.0625	176	229
Calumma parsonii	876.769230769231	529	1083	-18.00459	-18.95729	-15.0373	198.846153846154	188	223
Cantoria annulata	8.5	7	10	-9.08248832217404	-9.083	-9.08197664434808	267	267	267
Carlia ailanpalai	210	210	210	-2.141665	-2.2	-2.08333	265	262	268
