collection_no	collection.authorizer	license	class_name	order_name	family_name	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	collection.reference_no	latdec	lngdec	paleolatdec	paleolngdec	ma_max	ma_min	ma_mid
13743	J. Alroy	CC BY	Reptilia	Squamata	Teiidae		Dracaena		colombiana		Paradracaena		colombiana	6139	3.25	-75.183333	2.48	-72	16.3	15.5	15.9
13749	J. Alroy	CC BY	Reptilia	Squamata	Teiidae		Dracaena		colombiana		Paradracaena		colombiana	6139	3.283333	-75.2	2.51	-72.02	16.3	15.5	15.9
13750	J. Alroy	CC BY	Reptilia	Squamata	Teiidae		Dracaena		colombiana		Paradracaena		colombiana	6139	3.3	-75.15	2.53	-71.97	16.3	15.5	15.9
13776	M. Carrano	CC BY	Reptilia	Squamata			Eoxanta		lacertifrons					9899	43.4875	101.125	40.71	90.66	83.6	72.1	77.85
13776	M. Carrano	CC BY	Reptilia	Squamata	Slavoiidae	n. gen.	Slavoia	n. sp.	darevskii					9899	43.4875	101.125	40.71	90.66	83.6	72.1	77.85
13776	M. Carrano	CC BY	Reptilia	Squamata		n. gen.	Igua	n. sp.	minuta					9899	43.4875	101.125	40.71	90.66	83.6	72.1	77.85
13776	M. Carrano	CC BY	Reptilia	Squamata			Globaura		venusta					9899	43.4875	101.125	40.71	90.66	83.6	72.1	77.85
13776	M. Carrano	CC BY	Reptilia	Squamata	Carusiidae		Shinisauroides		latipalatum					9899	43.4875	101.125	40.71	90.66	83.6	72.1	77.85
13776	M. Carrano	CC BY	Reptilia	Squamata		n. gen.	Polrussia	n. sp.	mongoliensis					9899	43.4875	101.125	40.71	90.66	83.6	72.1	77.85
13776	M. Carrano	CC BY	Reptilia	Squamata	Phrynosomatidae	n. gen.	Desertiguana	n. sp.	gobiensis					9899	43.4875	101.125	40.71	90.66	83.6	72.1	77.85
13776	M. Carrano	CC BY	Reptilia	Squamata	Agamidae		Priscagama		gobiensis		Priscagama		sp.	9899	43.4875	101.125	40.71	90.66	83.6	72.1	77.85
13777	M. Carrano	CC BY	Reptilia	Squamata		n. gen.	Cretagama	n. sp.	bialynickae					6048	43.25	99.75	40.26	89.31	83.5	70.6	77.05
13777	M. Carrano	CC BY	Reptilia	Squamata	Agamidae	n. gen.	Priscagama	n. sp.	gobiensis					6048	43.25	99.75	40.26	89.31	83.5	70.6	77.05
13937	W. Clyde	CC BY	Reptilia	Squamata			Yabeinosaurus		tenuis					6171	41.366667	121.416667	44.01	123.46	129.4	125	127.2
13937	W. Clyde	CC BY	Reptilia	Squamata			Dalinghosaurus		longidigitus					6171	41.366667	121.416667	44.01	123.46	129.4	125	127.2
14382	J. Alroy	CC BY	Reptilia	Squamata	Paramacellodidae	cf.	Paramacellodus	n. sp.	keebleri					1214	45.2	-109	44.65	-63.63	113	100.5	106.75
